Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
Accounts,Head of Finance,Financial,Strategic Financial Reporting & P&L Oversight,"Deliver consolidated P&L, Balance Sheet & Cash Flow statements with 100% accuracy; variance analysis vs budget < 3%",25.00,Sourced from Finance & Accounts / Senior Manager
Accounts,Head of Finance,Financial,Tax Planning & Compliance Strategy,"Optimize corporate tax liability; ensure 100% on-time filing of GST, TDS, and Advance Tax; zero penalty exposure",20.00,Sourced from Finance & Accounts / Senior Manager
Accounts,Head of Finance,Project / Process,Statutory Audit & Internal Financial Controls,Zero significant audit observations; 100% closure of internal control gaps identified in audit,20.00,Sourced from Finance & Accounts / Senior Manager
Accounts,Head of Finance,Project / Process,Financial Transformation & Process Automation,Implement finance workflow automation projects reducing manual reconciliation time by 20%,15.00,Sourced from Finance & Accounts / Senior Manager
Accounts,Head of Finance,Internal / External Customer,Executive Financial Insights & Stakeholder Management,Provide strategic financial insights to leadership; maintain relationship score with auditors/regulators >= 9/10,10.00,Sourced from Finance & Accounts / Senior Manager
Accounts,Head of Finance,People,Team Leadership & Talent Development,Drive high-performance finance team culture; maintain team attrition < 10%; succession plan ready for key roles,10.00,Sourced from Finance & Accounts / Senior Manager
Admin,Assistant Vice President,Financial & Strategic Governance,"Strategic Admin Budgeting, CAPEX/OPEX Planning & Cost Optimization","• Formulate and manage yearly administrative budget (OPEX & CAPEX) across all sites and operational domains. • Drive cost-reduction strategies to achieve 7% YoY savings on administrative spend. • Implement domain-wise expenditure trackers and variance controls strictly within +/- 5% of approved budget. (Ref: SOW - Budgeting Planning & Optimizing, Expenses Mgmt)",15.00,Sourced from Administration / Assistant Vice President & Manager - Administration
Admin,Assistant Vice President,Commercial & Procurement,"Commercial Procurement, Strategic Sourcing & Vendor Negotiations","• End-to-end commercial procurement management: market search, identifying requirements, and obtaining competitive quotes, aherence to comittee process • Conduct high-value vendor negotiations to secure optimal quality, warranty, and pricing within budget limits. • Manage procurement for Non-IT assets, office infrastructure, stationery, consumables, and employee gifting. (Ref: SOW - Procurement, Business & Employee Gifting)",15.00,Sourced from Administration / Assistant Vice President & Manager - Administration
Admin,Assistant Vice President,Real Estate & Infrastructure,"Real Estate Expansion, Facility Fit-Outs & Asset Lifecycle Management","• Strategic scouting, lease negotiations, and setup of new office fit-outs, rental properties, and co-working spaces. • Oversee modification, space planning, seating allocation, and infrastructure maintenance in existing facilities. • Manage buying, leasing, maintenance, and liquidation/selling of company infrastructure based on set timelines and within approved budget • Timely manging the process of renewals for car leasing (Ref: SOW - Infra Set up, Buying Selling of Infra, Vehicle Mgmt, Seating Allocation)",10.00,Sourced from Administration / Assistant Vice President & Manager - Administration
Admin,Assistant Vice President,Vendor Management & Amcs,"Comprehensive Vendor Governance, AMCs & Contract Lifecycle Management","• Oversee end-to-end contract lifecycle and performance SLAs across 15+ vendor categories in collabration with Legal Department- No breach found in any Audit • Conduct quarterly vendor performance audits and ensure 100% timely SLA/AMC contract renewals. (Ref: SOW - Vendor Mgmt 15+ Categories, AMC Vendor Handling)",15.00,Sourced from Administration / Assistant Vice President & Manager - Administration
